model_date,timestamp,state_abb,vpi,p_tipping_point
2024-07-18,2024-07-18T12:37:09Z,WY,0,0
2024-07-18,2024-07-18T12:37:09Z,WV,0,0
2024-07-18,2024-07-18T12:37:09Z,VT,0,0
2024-07-18,2024-07-18T12:37:09Z,TN,0.5,0
2024-07-18,2024-07-18T12:37:09Z,SD,0.5,0
2024-07-18,2024-07-18T12:37:09Z,RI,4.5,0
2024-07-18,2024-07-18T12:37:09Z,OK,0,0
2024-07-18,2024-07-18T12:37:09Z,ND,0,0
2024-07-18,2024-07-18T12:37:09Z,NE-03,0,0
2024-07-18,2024-07-18T12:37:09Z,NE-01,2.4,0
2024-07-18,2024-07-18T12:37:09Z,NE,0.5,0
2024-07-18,2024-07-18T12:37:09Z,MT,7.9,0
2024-07-18,2024-07-18T12:37:09Z,MS,2.4,0
2024-07-18,2024-07-18T12:37:09Z,MA,0,0
2024-07-18,2024-07-18T12:37:09Z,MD,0.1,0
2024-07-18,2024-07-18T12:37:09Z,ME-01,0.7,0
2024-07-18,2024-07-18T12:37:09Z,LA,2.1,0
2024-07-18,2024-07-18T12:37:09Z,KY,0.4,0
2024-07-18,2024-07-18T12:37:09Z,IN,1.5,0
2024-07-18,2024-07-18T12:37:09Z,ID,0,0
2024-07-18,2024-07-18T12:37:09Z,HI,1,0
2024-07-18,2024-07-18T12:37:09Z,DC,0,0
2024-07-18,2024-07-18T12:37:09Z,DE,10.9,0
2024-07-18,2024-07-18T12:37:09Z,CA,0.2,0
2024-07-18,2024-07-18T12:37:09Z,AR,0.1,0
2024-07-18,2024-07-18T12:37:09Z,AL,0.3,0
2024-07-18,2024-07-18T12:37:09Z,UT,0.3,0.001
2024-07-18,2024-07-18T12:37:09Z,NY,2.1,0.001
2024-07-18,2024-07-18T12:37:09Z,KS,4.4,0.001
2024-07-18,2024-07-18T12:37:09Z,CT,3.2,0.001
2024-07-18,2024-07-18T12:37:09Z,SC,7.3,0.002
2024-07-18,2024-07-18T12:37:09Z,MO,3.3,0.004
2024-07-18,2024-07-18T12:37:09Z,ME-02,23.4,0.004
2024-07-18,2024-07-18T12:37:09Z,NE-02,55.4,0.005
2024-07-18,2024-07-18T12:37:09Z,IA,12.1,0.005
2024-07-18,2024-07-18T12:37:09Z,WA,2.9,0.006
2024-07-18,2024-07-18T12:37:09Z,IL,6.8,0.006
2024-07-18,2024-07-18T12:37:09Z,OR,5.4,0.009
2024-07-18,2024-07-18T12:37:09Z,NJ,14.6,0.009
2024-07-18,2024-07-18T12:37:09Z,AK,22.4,0.009
2024-07-18,2024-07-18T12:37:09Z,NM,41.7,0.01
2024-07-18,2024-07-18T12:37:09Z,ME,36.2,0.012
2024-07-18,2024-07-18T12:37:09Z,CO,15.9,0.015
2024-07-18,2024-07-18T12:37:09Z,NH,83.6,0.016
2024-07-18,2024-07-18T12:37:09Z,OH,26.2,0.028
2024-07-18,2024-07-18T12:37:09Z,MN,50.2,0.04
2024-07-18,2024-07-18T12:37:09Z,VA,41.1,0.042
2024-07-18,2024-07-18T12:37:09Z,NV,100,0.042
2024-07-18,2024-07-18T12:37:09Z,WI,77.9,0.065
2024-07-18,2024-07-18T12:37:09Z,AZ,73,0.066
2024-07-18,2024-07-18T12:37:09Z,NC,61.1,0.091
2024-07-18,2024-07-18T12:37:09Z,FL,42.5,0.091
2024-07-18,2024-07-18T12:37:09Z,MI,67,0.095
2024-07-18,2024-07-18T12:37:09Z,TX,45.2,0.097
2024-07-18,2024-07-18T12:37:09Z,GA,78.5,0.107
2024-07-18,2024-07-18T12:37:09Z,PA,84.2,0.122
